Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Reporting Type,Type of renewable technology,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),4,Afghanistan,G,ALL,W_PER_CAPITA,9.79907,9.72658,9.11922,8.46182,8.13966,7.88986,7.68964,7.58425,7.85936,7.77435,8.56526,8.37354,9.50126,9.30973,9.12725,8.96577,10.08609,10.42925,10.12051,10.08232,9.75633,9.66771,11.96771
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),4,Afghanistan,G,BIOENERGY,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),4,Afghanistan,G,GEOTHERMAL,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),4,Afghanistan,G,HYDROPOWER,W_PER_CAPITA,9.79907,9.72658,9.11922,8.46182,8.13966,7.88986,7.68964,7.58425,7.85936,7.77428,8.56165,8.36944,8.96881,8.77256,8.56291,8.40194,9.5,9.79123,9.51277,9.24007,8.95491,8.89309,11.16343
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),4,Afghanistan,G,MARINE,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),4,Afghanistan,G,SOLAR,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0.00007,0.00362,0.0041,0.52917,0.534,0.56128,0.56086,0.5832,0.62679,0.59684,0.83165,0.79115,0.76465,0.79455
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),4,Afghanistan,G,WIND,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0,0,0.00328,0.00317,0.00306,0.00296,0.00289,0.01122,0.0109,0.01059,0.01026,0.00998,0.00973
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),2,Africa,G,ALL,W_PER_CAPITA,26.94399,26.45347,26.11767,25.92391,25.27727,24.77503,24.15346,23.91909,23.76092,25.20292,25.62465,25.38004,25.60704,26.93839,27.90007,29.11685,30.61653,34.09898,37.37752,38.09845,39.65953,40.31611,41.25615
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),2,Africa,G,BIOENERGY,W_PER_CAPITA,0.98321,0.97105,0.97277,0.95788,0.94409,1.01032,0.91396,0.90604,0.92752,0.95477,0.9603,1.01223,1.07019,1.10757,1.16507,1.20467,1.22479,1.257,1.34503,1.32092,1.29975,1.33913,1.3081
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),2,Africa,G,GEOTHERMAL,W_PER_CAPITA,0.07976,0.07781,0.0759,0.07403,0.14959,0.14587,0.14221,0.13861,0.13508,0.16569,0.19463,0.1897,0.19165,0.18671,0.3192,0.52157,0.53605,0.53864,0.53378,0.52074,0.63995,0.62479,0.67061
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),2,Africa,G,HYDROPOWER,W_PER_CAPITA,25.69858,25.22253,24.88322,24.69764,23.90168,23.33606,22.72186,22.35367,22.09339,23.27088,23.44228,22.97572,23.00248,23.51413,22.92868,22.77855,22.95886,24.57497,25.01444,24.93593,24.93398,24.68457,25.09364
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),2,Africa,G,MARINE,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),2,Africa,G,SOLAR,W_PER_CAPITA,0.01259,0.01638,0.01805,0.02,0.02086,0.02385,0.03077,0.03916,0.05051,0.08925,0.2076,0.28301,0.32718,0.60166,1.43604,1.84658,2.78592,4.10291,6.25823,7.15498,7.99607,8.37717,8.79402
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),2,Africa,G,WIND,W_PER_CAPITA,0.16985,0.1657,0.16774,0.17436,0.26105,0.25894,0.34466,0.48162,0.55442,0.72232,0.81984,0.91937,1.01553,1.52831,2.05109,2.76548,3.11091,3.62546,4.22603,4.16588,4.78978,5.29045,5.38977
