Goal;Target;Indicator;SeriesCode;SeriesDescription;GeoAreaCode;GeoAreaName;Reporting Type;Units;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);4;Afghanistan;G;PERCENT;44.99;45.6;37.83;36.66;44.24;33.88;31.89;28.78;21.17;16.53;15.15;12.61;15.36;16.89;19.06;17.69;20.18;19.48;18.28;18.87;18.21;19.98;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);2;Africa;G;PERCENT;60.66;60.07;59.7;59.11;58.84;57.76;57.62;56.57;56.41;56.41;56.47;56.32;55.14;54.5;54.39;54.65;54.61;54.33;53.83;54.71;56.76;55.46;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);8;Albania;G;PERCENT;41.36;39.04;35.82;33.67;35.84;36.77;31.62;32;35.79;37.09;36.99;35.84;39.91;41.14;38.56;38.49;39.44;36.94;37.83;40.11;44.4;41.91;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);12;Algeria;G;PERCENT;0.43;0.43;0.51;0.47;0.44;0.58;0.41;0.41;0.3;0.31;0.26;0.18;0.18;0.13;0.07;0.06;0.08;0.14;0.19;0.16;0.15;0.12;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);16;American Samoa;G;PERCENT;0;0;0;0;0;0;0;0;0;0;0;0;0.09;0.16;0.16;0.17;0.21;0.35;0.35;0.36;0.38;0.39;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);19;Americas;G;PERCENT;11.69;11.1;11.41;11.83;12.09;12.54;13.04;13.17;13.76;14.44;14.26;15.02;15.21;15.39;15.41;15.47;15.93;16.38;16.43;16.75;18.34;17.65;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);20;Andorra;G;PERCENT;14.51;15.39;15.83;16.52;16.57;16.61;17.57;16.56;17.02;17.13;18.67;18.55;18.76;19.14;19.45;19.05;18.94;17.98;17.64;17.19;20.89;18.39;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);24;Angola;G;PERCENT;73.84;72.75;70.83;65.57;62.34;68.86;62.62;58.92;55.42;53;53.06;51.66;48.98;46.78;47.45;47.12;48.07;52.55;52.5;50.97;60.15;52.88;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);660;Anguilla;G;PERCENT;0.23;0.21;0.22;0.21;0.18;0.17;0.15;0.15;0.15;0.15;0.14;0.15;0.15;0.16;0.41;0.35;0.66;0.69;0.61;0.72;0.78;0.77;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);28;Antigua and Barbuda;G;PERCENT;0;0;0;0;0;0;0;0;0;0;0;0.06;0.11;0.11;0.11;0.36;0.45;0.45;0.7;0.69;0.92;0.9;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);32;Argentina;G;PERCENT;9.85;11.51;11.62;10.82;9.29;9.64;9.18;7.72;7.65;8.59;8.79;8.83;8.61;8.91;9.79;9.4;9.38;10.37;10.52;10.74;9.84;9.24;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);51;Armenia;G;PERCENT;7.16;5.42;8.9;9.81;8.71;6.49;7.65;7.02;6.4;7.8;9.36;8.01;6.56;6.77;7.08;10.74;13.15;12.56;11.13;10.34;8.38;9.13;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);533;Aruba;G;PERCENT;0.18;0.18;0.18;0.18;0.19;0.19;0.19;0.19;0.19;0.3;5.46;5.66;6.86;6.89;6.93;6.73;6.96;6.77;8.57;8.29;9.11;8.76;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);142;Asia;G;PERCENT;24.21;23.68;23.03;21.98;20.39;19.09;18.5;17.53;17.06;16.6;15.8;15.13;15.1;15.16;15.29;15.2;15.4;15.57;15.85;16.18;16.81;16.81;;;;;;;;;;;;;;;;;;;;;
