Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Reporting Type,Type of renewable technology,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
7,7.a,7.a.1,EG_IFF_RANDN,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2021 United States dollars)",4,Afghanistan,G,ALL,CON_USD_M,0.03,0.14,4.39,28.33,0,10.77,11.62,17.53,18,11.02,39.82,32.28,68.79,294.86,7.7,5.44,0.94,55.22,78.32,5,52.55,0.01,64.44
7,7.a,7.a.1,EG_IFF_RANDN,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2021 United States dollars)",4,Afghanistan,G,BIOENERGY,CON_USD_M,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0,1.86,0,0,0,0,0,0,0,0
7,7.a,7.a.1,EG_IFF_RANDN,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2021 United States dollars)",4,Afghanistan,G,GEOTHERMAL,CON_USD_M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7.a,7.a.1,EG_IFF_RANDN,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2021 United States dollars)",4,Afghanistan,G,HYDROPOWER,CON_USD_M,0.03,0.03,4.39,0.3,0,3.81,0.22,5.97,7.42,0,0.44,1.12,29.42,204.78,0,0,0,0,0,0.02,0,0,0
7,7.a,7.a.1,EG_IFF_RANDN,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2021 United States dollars)",4,Afghanistan,G,MARINE,CON_USD_M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7.a,7.a.1,EG_IFF_RANDN,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2021 United States dollars)",4,Afghanistan,G,MULTIPLE,CON_USD_M,0,0,0,28.03,0,6.96,11.1,11.56,10.58,11.02,32.87,29.76,19.48,89.91,5,5.44,0.77,5.08,30.15,0.6,34.26,0.01,64.44
7,7.a,7.a.1,EG_IFF_RANDN,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2021 United States dollars)",4,Afghanistan,G,SOLAR,CON_USD_M,0,0.11,0,0,0,0,0.31,0,0,0,6.51,0,19.88,0.18,0.83,0,0.17,50.14,48.17,4.38,18.29,0,0
7,7.a,7.a.1,EG_IFF_RANDN,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2021 United States dollars)",4,Afghanistan,G,WIND,CON_USD_M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7.a,7.a.1,EG_IFF_RANDN,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2021 United States dollars)",8,Albania,G,ALL,CON_USD_M,0.17,0,4.01,0.2,0,22.05,0,1.65,0,0.16,7.22,0.33,25.85,74.22,0.01,26.59,0,0.13,0,3.99,0,57.96,38.22
7,7.a,7.a.1,EG_IFF_RANDN,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2021 United States dollars)",8,Albania,G,BIOENERGY,CON_USD_M,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
